k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.768473,0.768473,0.6841,0.357143,0.0,0.0,1.0,0.686975,0.357143,0.0,0.680767,0.37,0.0,0.672526,0.529915,0.343137,0.0,0.672874,0.521368,0.0,0.0,0.0,0.0,0.0,0.948813,0.0,0.198602,1.171872,0.992753,0.987541,0.0,0.672719,0.819277,0.741935,0.522159,0.82038,0.223088
0.64532,0.64532,0.671548,0.142857,0.0,0.0,1.0,0.67437,0.142857,0.0,0.70241,0.18,0.0,0.684581,0.700855,0.176471,0.0,0.684952,0.700855,0.0,0.0,0.0,0.0,0.0,0.966792,0.0,0.143037,0.115979,0.990873,0.984332,0.0,0.79246,0.774527,0.548387,0.507039,0.777202,0.199649
0.768473,0.768473,0.732218,0.214286,0.0,0.0,1.0,0.735294,0.214286,0.0,0.832268,0.33,0.0,0.819186,0.666667,0.313725,0.0,0.817816,0.666667,0.0,0.0,0.0,0.0,0.0,0.914196,0.0,0.216009,0.127913,0.991758,0.985842,0.0,0.841042,0.79346,0.645161,0.532847,0.794473,0.23149
0.832512,0.832512,0.876569,0.428571,0.0,0.0,1.0,0.880252,0.428571,0.0,0.792425,0.2,0.0,0.779006,0.65812,0.205882,0.0,0.778057,0.65812,0.0,0.0,0.0,0.0,0.0,0.925318,0.0,0.142302,0.082927,1.0,1.0,0.0,0.487667,0.936317,0.580645,0.549791,0.939551,0.164964
0.876847,0.876847,0.805439,0.214286,0.0,0.0,1.0,0.808824,0.214286,0.0,0.750615,0.25,0.0,0.736816,0.649573,0.254902,0.0,0.737796,0.649573,0.0,0.0,0.0,0.0,0.0,0.984333,0.0,0.210732,0.263442,0.992864,0.98773,0.0,0.829865,0.841652,0.580645,0.603233,0.84456,0.164629
0.837438,0.837438,0.717573,0.571429,0.0,0.0,1.0,0.720588,0.571429,0.0,0.73881,0.29,0.0,0.726268,0.623932,0.294118,0.0,0.727227,0.623932,0.0,0.0,0.0,0.0,0.0,0.984113,0.0,0.246284,0.23198,0.990873,0.984332,0.0,0.782655,0.738382,0.580645,0.612096,0.739206,0.219023
0.901478,0.901478,0.759414,0.714286,0.0,0.0,1.0,0.762605,0.714286,0.0,0.727988,0.36,0.0,0.720743,0.529915,0.352941,0.0,0.719175,0.529915,0.0,0.0,0.0,0.0,0.0,0.903438,0.0,0.306471,0.106811,0.991536,0.985465,0.0,0.656608,0.839931,0.548387,0.623827,0.839378,0.180251
0.876847,0.871921,0.725941,0.285714,0.0,0.0,1.0,0.728992,0.285714,0.0,0.654206,0.4,0.0,0.649925,0.452991,0.382353,0.0,0.650226,0.452991,0.0,0.0,0.0,0.261933,0.0,0.96468,0.0,0.200354,0.117118,1.0,0.999811,0.0,0.664147,0.790017,0.645161,0.61731,0.791019,0.197115
0.827586,0.827586,0.725941,0.5,0.333333,0.0,0.926173,0.72479,0.5,0.0,0.647319,0.31,0.0,0.637368,0.547009,0.343137,0.0,0.637141,0.547009,0.0,0.0,0.0,0.0,0.0,0.946534,0.0,0.426878,0.174119,0.992864,0.98773,0.0,0.625366,0.810671,0.709677,0.660323,0.813472,0.297747
0.738916,0.738916,0.797071,0.571429,0.333333,0.0,0.931714,0.796218,0.571429,0.0,0.810133,0.27,0.0,0.803114,0.555556,0.264706,0.0,0.802718,0.555556,0.0,0.0,0.0,0.0,0.0,0.941412,0.0,0.138624,0.14341,0.990983,0.984521,0.0,0.830776,0.850258,0.774194,0.619134,0.849741,0.206506
0.73399,0.729064,0.679916,0.285714,0.166667,0.0,0.961041,0.680672,0.285714,0.0,0.714215,0.33,0.0,0.716725,0.358974,0.343137,0.0,0.718168,0.358974,0.0,0.0,0.0,0.248023,0.0,1.0,0.0,0.115591,0.082106,0.991481,0.985465,0.0,0.493261,0.753873,0.645161,0.599062,0.75475,0.174287
0.990148,0.985222,0.82636,0.142857,0.0,0.0,1.0,0.829832,0.142857,0.0,0.703886,0.28,0.0,0.696133,0.529915,0.27451,0.0,0.697031,0.529915,0.0,0.0,0.0,0.249432,0.0,0.983426,0.0,0.190729,0.107462,0.999779,0.999622,0.0,0.72298,0.895009,0.580645,0.641032,0.896373,0.269673
0.669951,0.660099,0.604603,0.285714,0.333333,0.0,0.914312,0.602941,0.285714,0.0,0.696016,0.3,0.0,0.68006,0.666667,0.294118,0.0,0.679919,0.65812,0.0,0.0,0.0,0.521378,0.0,0.933052,0.0,0.151061,0.190434,0.992643,0.987353,0.0,0.7251,0.796902,0.580645,0.505996,0.797927,0.168948
0.817734,0.817734,0.748954,0.5,0.0,0.0,1.0,0.752101,0.5,0.0,0.765863,0.24,0.0,0.74435,0.786325,0.245098,0.0,0.743835,0.769231,0.0,0.0,0.0,0.0,0.0,0.907644,0.0,0.072986,0.101492,0.990928,0.984521,0.0,0.641636,0.814114,0.580645,0.607664,0.815199,0.194444
0.812808,0.812808,0.725941,0.285714,0.5,0.0,0.88926,0.722689,0.285714,0.0,0.760944,0.32,0.0,0.746861,0.65812,0.303922,0.0,0.745345,0.649573,0.0,0.0,0.0,0.0,0.0,0.891638,0.0,0.279455,0.116814,0.991592,0.985654,0.0,0.526019,0.798623,0.645161,0.636079,0.801382,0.267847
0.866995,0.866995,0.943515,0.5,0.333333,0.0,0.940854,0.943277,0.5,0.0,0.791933,0.45,0.0,0.774987,0.717949,0.441176,0.0,0.776044,0.709402,0.0,0.0,0.0,0.0,0.0,0.970111,0.0,0.338859,0.090357,0.999723,0.999434,0.0,0.492997,0.905336,0.741935,0.666319,0.906736,0.327184
0.960591,0.950739,0.903766,0.714286,0.0,0.0,1.0,0.907563,0.714286,0.0,0.858829,0.53,0.0,0.849824,0.606838,0.519608,0.0,0.851032,0.589744,0.0,0.0,0.0,0.430603,0.0,0.958282,0.0,0.254748,0.184797,0.992587,0.987353,0.0,0.577416,1.0,0.741935,0.691867,1.001727,0.268354
0.630542,0.625616,0.692469,0.714286,0.5,0.0,0.884864,0.689076,0.714286,0.0,0.887359,0.45,0.0,0.894023,0.350427,0.441176,0.0,0.892803,0.350427,0.0,0.0,0.0,0.220825,0.0,0.918965,0.0,0.438139,0.155529,0.990762,0.984143,0.0,0.603001,0.913941,0.741935,0.618092,0.915371,0.298278
0.44335,0.438424,0.548117,0.571429,0.0,0.0,1.0,0.55042,0.571429,0.0,0.74422,0.54,0.0,0.747865,0.350427,0.539216,0.0,0.747861,0.34188,0.0,0.0,0.0,0.26131,0.0,0.936858,0.0,0.474933,0.164395,0.991592,0.985465,0.0,0.830432,0.798623,0.483871,0.403024,0.799655,0.251398
0.502463,0.502463,0.604603,0.357143,0.0,0.0,1.0,0.607143,0.357143,0.0,0.808657,0.34,0.0,0.812155,0.376068,0.343137,0.0,0.812783,0.367521,0.0,0.0,0.0,0.0,0.0,0.955988,0.0,0.465792,0.240276,0.999834,0.999622,0.0,0.589441,0.805508,0.612903,0.631648,0.804836,0.541426
0.827586,0.827586,0.857741,0.214286,0.333333,0.0,0.935823,0.857143,0.214286,0.0,0.936547,0.34,0.0,0.939227,0.435897,0.333333,0.0,0.941117,0.42735,0.0,0.0,0.0,0.0,0.0,0.987133,0.0,0.575845,0.384581,0.992698,0.987541,0.0,0.482908,0.891566,0.870968,0.739312,0.892919,0.575133
0.748768,0.748768,0.926778,0.357143,1.0,0.0,0.819806,0.918067,0.357143,0.0,0.821938,1.03,0.0,0.835761,0.205128,1.019608,0.0,0.83694,0.205128,0.0,0.0,0.0,0.0,0.0,0.98554,0.0,0.526219,0.373614,0.990707,0.983955,0.0,0.738772,0.910499,0.741935,0.717414,0.913644,0.524834
0.724138,0.724138,0.696653,0.285714,0.333333,0.0,0.923621,0.695378,0.285714,0.0,0.815052,0.48,0.0,0.825716,0.25641,0.490196,0.0,0.826875,0.239316,0.0,0.0,0.0,0.0,0.0,0.956294,0.0,0.353354,0.367916,0.99137,0.985276,0.0,0.672794,0.726334,0.645161,0.564911,0.727116,0.415789
0.773399,0.768473,0.671548,0.714286,0.0,0.0,1.0,0.67437,0.714286,0.0,0.647319,0.64,0.0,0.658463,0.188034,0.637255,0.0,0.659789,0.188034,0.0,0.0,0.0,0.27284,0.0,1.0,0.0,0.517596,0.827978,0.999834,0.999622,0.0,0.547296,0.769363,0.709677,0.702815,0.768566,0.640367
0.689655,0.684729,0.640167,0.928571,0.166667,0.0,0.959083,0.640756,0.928571,0.0,0.70487,0.27,0.0,0.712205,0.273504,0.284314,0.0,0.712129,0.273504,0.0,0.0,0.0,0.254345,0.0,0.950339,0.0,0.699112,0.68562,0.992698,0.987353,0.0,0.545544,0.707401,0.645161,0.737748,0.708117,0.865764
0.940887,0.940887,0.719665,0.5,0.333333,0.0,0.925641,0.718487,0.5,0.0,0.733891,0.31,0.0,0.73782,0.34188,0.313725,0.0,0.738802,0.34188,0.0,0.0,0.0,0.0,0.0,0.98402,0.0,0.687386,0.630269,0.990817,0.984332,0.0,0.732704,0.728055,0.741935,0.74609,0.73057,0.780413
